sessionId,sampleIndex,kind,label,nodeId,predicate,verified,method,distance,margin,salience
conflict-attribute,0,attribute,화려한 디자인,attribute:화려한 디자인,avoids,False,no_vocabulary,,,0.9
conflict-attribute,1,attribute,화려한 디자인,attribute:화려한 디자인,avoids,False,no_vocabulary,,,0.9
conflict-attribute,2,attribute,화려한 디자인,attribute:화려한 디자인,avoids,False,no_vocabulary,,,0.9
conflict-attribute,3,attribute,화려한 디자인,attribute:화려한 디자인,avoids,False,no_vocabulary,,,0.9
conflict-attribute,4,attribute,화려한 디자인,attribute:화려한 디자인,avoids,False,no_vocabulary,,,0.9
conflict-brand,0,brand,아디다스,brand:아디다스,avoids,False,no_vocabulary,,,0.95
conflict-brand,1,brand,아디다스,brand:아디다스,avoids,False,no_vocabulary,,,0.95
conflict-brand,2,brand,아디다스,brand:아디다스,avoids,False,no_vocabulary,,,0.95
conflict-brand,3,brand,아디다스,brand:아디다스,avoids,False,no_vocabulary,,,0.95
conflict-brand,4,brand,아디다스,brand:아디다스,avoids,False,no_vocabulary,,,0.95
kc-attribute-01,0,attribute,방수 기능,attribute:방수 기능,prefers,False,no_vocabulary,,,0.95
kc-attribute-01,0,attribute,높은 가격 수용,attribute:높은 가격 수용,prefers,False,no_vocabulary,,,0.7
kc-attribute-01,1,attribute,방수 기능,attribute:방수 기능,prefers,False,no_vocabulary,,,0.95
kc-attribute-01,1,attribute,가격 프리미엄 허용,attribute:가격 프리미엄 허용,prefers,False,no_vocabulary,,,0.75
kc-attribute-01,2,attribute,방수 기능,attribute:방수 기능,prefers,False,no_vocabulary,,,0.9
kc-attribute-01,2,situation,비 오는 날 사용,situation:비 오는 날 사용,interestedIn,False,no_vocabulary,,,0.8
kc-attribute-01,2,attribute,높은 가격 수용,attribute:높은 가격 수용,prefers,False,no_vocabulary,,,0.7
kc-attribute-01,3,attribute,방수 기능,attribute:방수 기능,prefers,False,no_vocabulary,,,0.95
kc-attribute-01,3,attribute,높은 가격 수용,attribute:높은 가격 수용,prefers,False,no_vocabulary,,,0.8
kc-attribute-01,4,attribute,방수 기능,attribute:방수 기능,prefers,False,no_vocabulary,,,0.9
kc-attribute-01,4,attribute,높은 가격 수용,attribute:높은 가격 수용,prefers,False,no_vocabulary,,,0.7
kc-attribute-02,0,attribute,천연 성분,attribute:천연 성분,prefers,False,no_vocabulary,,,0.9
kc-attribute-02,0,attribute,저자극,attribute:저자극,prefers,False,no_vocabulary,,,0.8
kc-attribute-02,0,attribute,약한 향,attribute:약한 향,prefers,False,no_vocabulary,,,0.9
kc-attribute-02,1,attribute,천연 성분,attribute:천연 성분,prefers,False,no_vocabulary,,,0.9
kc-attribute-02,1,attribute,약한 향,attribute:약한 향,prefers,False,no_vocabulary,,,0.9
kc-attribute-02,2,attribute,천연 성분,attribute:천연 성분,prefers,False,no_vocabulary,,,0.9
kc-attribute-02,2,attribute,저자극,attribute:저자극,prefers,False,no_vocabulary,,,0.85
kc-attribute-02,2,attribute,약한 향,attribute:약한 향,prefers,False,no_vocabulary,,,0.85
kc-attribute-02,3,attribute,천연 성분,attribute:천연 성분,prefers,False,no_vocabulary,,,0.9
kc-attribute-02,3,attribute,저자극,attribute:저자극,prefers,False,no_vocabulary,,,0.8
kc-attribute-02,3,attribute,약한 향,attribute:약한 향,prefers,False,no_vocabulary,,,0.9
kc-attribute-02,4,attribute,천연 성분,attribute:천연 성분,prefers,False,no_vocabulary,,,0.85
kc-attribute-02,4,attribute,저자극,attribute:저자극,prefers,False,no_vocabulary,,,0.75
kc-attribute-02,4,attribute,은은한 향,attribute:은은한 향,prefers,False,no_vocabulary,,,0.8
kc-brand-01,0,brand,소니,brand:소니,likes,False,no_vocabulary,,,0.85
kc-brand-01,1,brand,소니,brand:소니,likes,False,no_vocabulary,,,0.9
kc-brand-01,2,brand,소니,brand:소니,likes,False,no_vocabulary,,,0.9
kc-brand-01,3,brand,소니,brand:소니,likes,False,no_vocabulary,,,0.9
kc-brand-01,4,brand,소니,brand:소니,likes,False,no_vocabulary,,,0.9
kc-category-02,0,category,커피/생수/음료 > 커피,category:커피/생수/음료 > 커피,likes,True,embedding,0.2519,0.065,0.8
kc-category-02,0,situation,매일 아침,situation:매일 아침,interestedIn,False,no_vocabulary,,,0.7
kc-category-02,1,category,커피/생수/음료 > 커피,category:커피/생수/음료 > 커피,likes,True,embedding,0.2519,0.065,0.8
kc-category-02,1,situation,매일 아침,situation:매일 아침,interestedIn,False,no_vocabulary,,,0.6
kc-category-02,3,category,커피/생수/음료 > 커피,category:커피/생수/음료 > 커피,likes,True,embedding,0.2519,0.065,0.7
kc-category-02,3,situation,매일 아침,situation:매일 아침,interestedIn,False,no_vocabulary,,,0.5
kc-category-02,4,category,커피/생수/음료 > 커피,category:커피/생수/음료 > 커피,likes,True,embedding,0.2519,0.065,0.7
kc-category-02,4,situation,아침,situation:아침,interestedIn,False,no_vocabulary,,,0.6
kc-priceBand-01,0,priceBand,30000-50000,priceBand:30000-50000,prefers,True,rule,,,0.9
