cellId,sampleIndex,needs,expectedPriorities,priorities,legMismatch,latencyMs
camping,0,텐트;침낭;휴대용 버너;캠핑 랜턴,1;1;2;3,1;1;2;3,False,1339
camping,1,텐트;침낭;휴대용 버너;캠핑 랜턴,1;1;2;3,1;1;2;2,False,972
camping,2,텐트;침낭;휴대용 버너;캠핑 랜턴,1;1;2;3,1;1;2;3,False,913
camping,3,텐트;침낭;휴대용 버너;캠핑 랜턴,1;1;2;3,1;1;2;2,False,1024
camping,4,텐트;침낭;휴대용 버너;캠핑 랜턴,1;1;2;3,1;1;2;2,False,742
camping,5,텐트;침낭;휴대용 버너;캠핑 랜턴,1;1;2;3,1;1;2;2,False,1008
camping,6,텐트;침낭;휴대용 버너;캠핑 랜턴,1;1;2;3,1;1;1;1,False,927
camping,7,텐트;침낭;휴대용 버너;캠핑 랜턴,1;1;2;3,1;1;1;1,False,873
cycling,0,자전거 헬멧;장갑;후미 안전등,1;2;3,1;2;2,False,693
cycling,1,자전거 헬멧;장갑;후미 안전등,1;2;3,1;2;1,False,884
cycling,2,자전거 헬멧;장갑;후미 안전등,1;2;3,1;2;1,False,8156
cycling,3,자전거 헬멧;장갑;후미 안전등,1;2;3,1;2;1,False,43014
cycling,4,자전거 헬멧;장갑;후미 안전등,1;2;3,1;2;3,False,986
cycling,5,자전거 헬멧;장갑;후미 안전등,1;2;3,1;2;1,False,895
cycling,6,자전거 헬멧;장갑;후미 안전등,1;2;3,1;2;1,False,1207
cycling,7,자전거 헬멧;장갑;후미 안전등,1;2;3,1;2;1,False,980
gimbap,0,김밥용 김;단무지,1;3,1;1,False,1059
gimbap,1,김밥용 김;단무지,1;3,1;1,False,847
gimbap,2,김밥용 김;단무지,1;3,1;2,False,1127
gimbap,3,김밥용 김;단무지,1;3,1;2,False,929
gimbap,4,김밥용 김;단무지,1;3,1;1,False,914
gimbap,5,김밥용 김;단무지,1;3,1;1,False,789
gimbap,6,김밥용 김;단무지,1;3,1;2,False,871
gimbap,7,김밥용 김;단무지,1;3,1;1,False,738
gym_start,0,운동화;헬스 장갑;손목 스트랩,1;2;3,1;2;3,False,780
gym_start,1,운동화;헬스 장갑;손목 스트랩,1;2;3,1;2;3,False,822
gym_start,2,운동화;헬스 장갑;손목 스트랩,1;2;3,1;2;2,False,1473
gym_start,3,운동화;헬스 장갑;손목 스트랩,1;2;3,1;2;2,False,1006
gym_start,4,운동화;헬스 장갑;손목 스트랩,1;2;3,1;2;2,False,49009
gym_start,5,운동화;헬스 장갑;손목 스트랩,1;2;3,1;2;2,False,1251
gym_start,6,운동화;헬스 장갑;손목 스트랩,1;2;3,1;2;3,False,836
gym_start,7,운동화;헬스 장갑;손목 스트랩,1;2;3,1;2;2,False,1102
hiking,0,등산화;등산 스틱;방한 장갑,1;2;3,1;1;1,False,1419
hiking,1,등산화;등산 스틱;방한 장갑,1;2;3,1;2;2,False,1000
hiking,2,등산화;등산 스틱;방한 장갑,1;2;3,1;1;1,False,1106
hiking,3,등산화;등산 스틱;방한 장갑,1;2;3,1;2;2,False,2645
hiking,4,등산화;등산 스틱;방한 장갑,1;2;3,1;2;1,False,49032
hiking,5,등산화;등산 스틱;방한 장갑,1;2;3,1;2;1,False,864
hiking,6,등산화;등산 스틱;방한 장갑,1;2;3,1;2;2,False,733
hiking,7,등산화;등산 스틱;방한 장갑,1;2;3,1;2;1,False,1097
home_cafe,0,원두;드리퍼;온도계,1;2;3,1;2;3,False,759
home_cafe,1,원두;드리퍼;온도계,1;2;3,1;2;3,False,879
home_cafe,2,원두;드리퍼;온도계,1;2;3,1;2;2,False,48536
home_cafe,3,원두;드리퍼;온도계,1;2;3,1;1;2,False,1019
home_cafe,4,원두;드리퍼;온도계,1;2;3,1;2;3,False,867
