caseId,arm,orderSeed,repeat,attempt,candidateOrder,rankedProductIds,top3ProductIds,top1ProductId,latencyMs,rawResponseSha256,providerCalled,rankingDecisions,codeAssistedDecisions,relevanceGrades,hardConstraints,mustExcludeProductIds,slices,foreignEvaluationCount,duplicateEvaluationCount,invalidScoreCount,evaluatedCoverage,partialFallback,fullFallback,hardConstraintViolationCount,inputTokens,outputTokens,costUsd,usageUnknownReason,ndcgAt10,datasetHash,promptHash,modelConfigJson
rh2-adversarial-0001,current,11,0,1,"[5134004640,9466686793,9470241680,9339005338,1280954924,8481970686,9474734087,2888196506,9380527610,2684072012]",[9474734087],[9474734087],9474734087,8740,15d702c150dd21e2367531f324f400d3102bbbe2f601c3703b9cc8f20025d557,true,[],[],"{""2888196506"":3,""9380527610"":3,""9474734087"":3}","{""forbiddenCategories"":[],""forbiddenProductIds"":[9409881208],""priceMax"":90000,""priceMin"":null}",[9409881208],"[""ranking"",""adversarial"",""guest"",""conflicting_preference""]",0,0,0,1.0,false,false,0,,,,provider usage unavailable,0.4692787260227565,4fa52e596f97c60c2b067c0ca6b30345ed574fcb7ad67acb67009b344a49f87b,bec5382f073bddb8a8e7c670a3e282712845e220957a8e054a655389ec66037c,"{""fastModel"":""gpt-5-nano"",""fastReasoningEffort"":""minimal"",""maxRetries"":0,""provider"":""openai"",""smartModel"":""gpt-5.6-luna"",""smartReasoningEffort"":""medium"",""timeoutS"":30.0}"
rh2-adversarial-0001,code_assisted,11,0,1,"[5134004640,9466686793,9470241680,9339005338,1280954924,8481970686,9474734087,2888196506,9380527610,2684072012]","[9474734087,2888196506,9380527610]","[9474734087,2888196506,9380527610]",9474734087,11331,11e812f117ae5397f2bb5340e16cfdf424bff7ece9d7b19640a3f8dae0e86489,true,[],"[{""evidence_refs"":[""PRICE_RANGE_MATCH""],""fallback_reason"":null,""llm_rank"":1,""product_id"":9474734087,""profile_fit"":0,""score_valid"":true,""search_rank"":4,""semantic_intent_fit"":4,""semantic_reason_code"":""DIRECT_INTENT_MATCH"",""use_case_fit"":3,""used_evidence_refs"":[""PRICE_RANGE_MATCH""]},{""evidence_refs"":[""PRICE_RANGE_MATCH""],""fallback_reason"":null,""llm_rank"":2,""product_id"":2888196506,""profile_fit"":0,""score_valid"":true,""search_rank"":10,""semantic_intent_fit"":3,""semantic_reason_code"":""DIRECT_INTENT_MATCH"",""use_case_fit"":2,""used_evidence_refs"":[""PRICE_RANGE_MATCH""]},{""evidence_refs"":[""PRICE_RANGE_MATCH""],""fallback_reason"":null,""llm_rank"":3,""product_id"":9380527610,""profile_fit"":0,""score_valid"":true,""search_rank"":9,""semantic_intent_fit"":2,""semantic_reason_code"":""USE_CASE_MATCH"",""use_case_fit"":2,""used_evidence_refs"":[""PRICE_RANGE_MATCH""]}]","{""2888196506"":3,""9380527610"":3,""9474734087"":3}","{""forbiddenCategories"":[],""forbiddenProductIds"":[9409881208],""priceMax"":90000,""priceMin"":null}",[9409881208],"[""ranking"",""adversarial"",""guest"",""conflicting_preference""]",0,0,0,1.0,false,false,0,,,,provider usage unavailable,1.0,4fa52e596f97c60c2b067c0ca6b30345ed574fcb7ad67acb67009b344a49f87b,ada769cbb709f73a387356fcd2a0f914f99d1fa6c8841c484676952c0b98e481,"{""fastModel"":""gpt-5-nano"",""fastReasoningEffort"":""minimal"",""maxRetries"":0,""provider"":""openai"",""smartModel"":""gpt-5.6-luna"",""smartReasoningEffort"":""medium"",""timeoutS"":30.0}"
rh2-adversarial-0002,current,11,0,1,"[8488187386,3794188197,9124020548,9462433730]",[9124020548],[9124020548],9124020548,3323,9f06174300613252b4808b75da49b4f824cb0266d068b1a4cfcfebdf6ddad685,true,[],[],"{""9124020548"":3}","{""forbiddenCategories"":[],""forbiddenProductIds"":[4818646816,4818679413,9358485898,9358743440],""priceMax"":17200,""priceMin"":null}","[4818646816,4818679413,9358485898,9358743440]","[""ranking"",""adversarial"",""guest"",""conflicting_preference""]",0,0,0,1.0,false,false,0,,,,provider usage unavailable,1.0,4fa52e596f97c60c2b067c0ca6b30345ed574fcb7ad67acb67009b344a49f87b,bec5382f073bddb8a8e7c670a3e282712845e220957a8e054a655389ec66037c,"{""fastModel"":""gpt-5-nano"",""fastReasoningEffort"":""minimal"",""maxRetries"":0,""provider"":""openai"",""smartModel"":""gpt-5.6-luna"",""smartReasoningEffort"":""medium"",""timeoutS"":30.0}"
rh2-adversarial-0002,code_assisted,11,0,1,"[8488187386,3794188197,9124020548,9462433730]",[9124020548],[9124020548],9124020548,3709,d53f5d9c279a209d36405b1afb275824ef4788e62a3062396cfc5d0cb8d65bf1,true,[],"[{""evidence_refs"":[""PRICE_RANGE_MATCH""],""fallback_reason"":null,""llm_rank"":1,""product_id"":9124020548,""profile_fit"":0,""score_valid"":true,""search_rank"":3,""semantic_intent_fit"":4,""semantic_reason_code"":""DIRECT_INTENT_MATCH"",""use_case_fit"":3,""used_evidence_refs"":[""PRICE_RANGE_MATCH""]}]","{""9124020548"":3}","{""forbiddenCategories"":[],""forbiddenProductIds"":[4818646816,4818679413,9358485898,9358743440],""priceMax"":17200,""priceMin"":null}","[4818646816,4818679413,9358485898,9358743440]","[""ranking"",""adversarial"",""guest"",""conflicting_preference""]",0,0,0,1.0,false,false,0,,,,provider usage unavailable,1.0,4fa52e596f97c60c2b067c0ca6b30345ed574fcb7ad67acb67009b344a49f87b,ada769cbb709f73a387356fcd2a0f914f99d1fa6c8841c484676952c0b98e481,"{""fastModel"":""gpt-5-nano"",""fastReasoningEffort"":""minimal"",""maxRetries"":0,""provider"":""openai"",""smartModel"":""gpt-5.6-luna"",""smartReasoningEffort"":""medium"",""timeoutS"":30.0}"
rh2-adversarial-0004,current,11,0,1,"[2627452444,8372308572,9406060285,9406065305,1085982197,8050319029]","[1085982197,2627452444,9406065305,9406060285]","[1085982197,2627452444,9406065305]",1085982197,8691,633d309c2339b00c6011a7b4b79c9fea45f0a9ab307f9e8f4f33f86ee4f78a60,true,[],[],"{""2627452444"":3,""8050319029"":3,""8372308572"":3,""9406060285"":3}","{""forbiddenCategories"":[],""forbiddenProductIds"":[2749402080,3745840628,6523501950,8528722503],""priceMax"":77240,""priceMin"":null}","[2749402080,3745840628,6523501950,8528722503]","[""ranking"",""adversarial"",""guest"",""conflicting_preference""]",0,0,0,1.0,false,false,0,,,,provider usage unavailable,0.4144299250118475,4fa52e596f97c60c2b067c0ca6b30345ed574fcb7ad67acb67009b344a49f87b,bec5382f073bddb8a8e7c670a3e282712845e220957a8e054a655389ec66037c,"{""fastModel"":""gpt-5-nano"",""fastReasoningEffort"":""minimal"",""maxRetries"":0,""provider"":""openai"",""smartModel"":""gpt-5.6-luna"",""smartReasoningEffort"":""medium"",""timeoutS"":30.0}"
rh2-adversarial-0005,current,11,0,1,"[6307245110,9344384918,2660041983,6882132554]",[6882132554],[6882132554],6882132554,10229,a5fdf58a9fb075896e833e4f1199acb4c2afd7ce4ee29bbeade9f76c7c95410d,true,[],[],"{""6882132554"":3,""9344384918"":3}","{""forbiddenCategories"":[],""forbiddenProductIds"":[8418190873,8418193849,9103980205,9337843465],""priceMax"":75430,""priceMin"":null}","[8418190873,8418193849,9103980205,9337843465]","[""ranking"",""adversarial"",""guest"",""conflicting_preference""]",0,0,0,1.0,false,false,0,,,,provider usage unavailable,0.6131471927654584,4fa52e596f97c60c2b067c0ca6b30345ed574fcb7ad67acb67009b344a49f87b,bec5382f073bddb8a8e7c670a3e282712845e220957a8e054a655389ec66037c,"{""fastModel"":""gpt-5-nano"",""fastReasoningEffort"":""minimal"",""maxRetries"":0,""provider"":""openai"",""smartModel"":""gpt-5.6-luna"",""smartReasoningEffort"":""medium"",""timeoutS"":30.0}"
rh2-adversarial-0005,code_assisted,11,0,1,"[6307245110,9344384918,2660041983,6882132554]","[6882132554,9344384918]","[6882132554,9344384918]",6882132554,6007,bf19786eb59083bdedf713453f760a0051386f782ded530332ac798aa374b7d5,true,[],"[{""evidence_refs"":[""PRICE_RANGE_MATCH""],""fallback_reason"":null,""llm_rank"":1,""product_id"":6882132554,""profile_fit"":0,""score_valid"":true,""search_rank"":4,""semantic_intent_fit"":4,""semantic_reason_code"":""DIRECT_INTENT_MATCH"",""use_case_fit"":3,""used_evidence_refs"":[""PRICE_RANGE_MATCH""]},{""evidence_refs"":[""PRICE_RANGE_MATCH""],""fallback_reason"":null,""llm_rank"":2,""product_id"":9344384918,""profile_fit"":0,""score_valid"":true,""search_rank"":2,""semantic_intent_fit"":4,""semantic_reason_code"":""DIRECT_INTENT_MATCH"",""use_case_fit"":3,""used_evidence_refs"":[""PRICE_RANGE_MATCH""]}]","{""6882132554"":3,""9344384918"":3}","{""forbiddenCategories"":[],""forbiddenProductIds"":[8418190873,8418193849,9103980205,9337843465],""priceMax"":75430,""priceMin"":null}","[8418190873,8418193849,9103980205,9337843465]","[""ranking"",""adversarial"",""guest"",""conflicting_preference""]",0,0,0,1.0,false,false,0,,,,provider usage unavailable,1.0,4fa52e596f97c60c2b067c0ca6b30345ed574fcb7ad67acb67009b344a49f87b,ada769cbb709f73a387356fcd2a0f914f99d1fa6c8841c484676952c0b98e481,"{""fastModel"":""gpt-5-nano"",""fastReasoningEffort"":""minimal"",""maxRetries"":0,""provider"":""openai"",""smartModel"":""gpt-5.6-luna"",""smartReasoningEffort"":""medium"",""timeoutS"":30.0}"
rh2-adversarial-0006,current,11,0,1,"[5744186987,3696343286,9384864374,1714691773,8436289917,2379744263]",[1714691773],[1714691773],1714691773,5695,25f66671aeca09917cd68dae288c606b22bd8ca505870b5cbefea4da426da0e3,true,[],[],"{""1714691773"":3,""8436289917"":3}","{""forbiddenCategories"":[],""forbiddenProductIds"":[9347004340,9353117737],""priceMax"":31000,""priceMin"":null}","[9347004340,9353117737]","[""ranking"",""adversarial"",""guest"",""conflicting_preference""]",0,0,0,1.0,false,false,0,,,,provider usage unavailable,0.6131471927654584,4fa52e596f97c60c2b067c0ca6b30345ed574fcb7ad67acb67009b344a49f87b,bec5382f073bddb8a8e7c670a3e282712845e220957a8e054a655389ec66037c,"{""fastModel"":""gpt-5-nano"",""fastReasoningEffort"":""minimal"",""maxRetries"":0,""provider"":""openai"",""smartModel"":""gpt-5.6-luna"",""smartReasoningEffort"":""medium"",""timeoutS"":30.0}"
rh2-adversarial-0006,code_assisted,11,0,1,"[5744186987,3696343286,9384864374,1714691773,8436289917,2379744263]","[1714691773,8436289917]","[1714691773,8436289917]",1714691773,4794,58d33f2f200a7ca40e7c300b3a8d931de236c501620fd60ca8bb7b229cbf6124,true,[],"[{""evidence_refs"":[""PRICE_RANGE_MATCH""],""fallback_reason"":null,""llm_rank"":1,""product_id"":1714691773,""profile_fit"":0,""score_valid"":true,""search_rank"":6,""semantic_intent_fit"":4,""semantic_reason_code"":""DIRECT_INTENT_MATCH"",""use_case_fit"":2,""used_evidence_refs"":[""PRICE_RANGE_MATCH""]},{""evidence_refs"":[""PRICE_RANGE_MATCH""],""fallback_reason"":null,""llm_rank"":2,""product_id"":8436289917,""profile_fit"":0,""score_valid"":true,""search_rank"":5,""semantic_intent_fit"":4,""semantic_reason_code"":""DIRECT_INTENT_MATCH"",""use_case_fit"":2,""used_evidence_refs"":[""PRICE_RANGE_MATCH""]}]","{""1714691773"":3,""8436289917"":3}","{""forbiddenCategories"":[],""forbiddenProductIds"":[9347004340,9353117737],""priceMax"":31000,""priceMin"":null}","[9347004340,9353117737]","[""ranking"",""adversarial"",""guest"",""conflicting_preference""]",0,0,0,1.0,false,false,0,,,,provider usage unavailable,1.0,4fa52e596f97c60c2b067c0ca6b30345ed574fcb7ad67acb67009b344a49f87b,ada769cbb709f73a387356fcd2a0f914f99d1fa6c8841c484676952c0b98e481,"{""fastModel"":""gpt-5-nano"",""fastReasoningEffort"":""minimal"",""maxRetries"":0,""provider"":""openai"",""smartModel"":""gpt-5.6-luna"",""smartReasoningEffort"":""medium"",""timeoutS"":30.0}"
rh2-adversarial-0007,current,11,0,1,"[2771811534,8280510994]","[2771811534,8280510994]","[2771811534,8280510994]",2771811534,3386,ed9b6fbce3eb91bf0ec29f3300b66cd45dcf2211c358db7e40cdbc897cd3f150,true,[],[],"{""2771811534"":3,""8280510994"":3}","{""forbiddenCategories"":[],""forbiddenProductIds"":[7777421064],""priceMax"":5400,""priceMin"":null}",[7777421064],"[""ranking"",""adversarial"",""guest"",""conflicting_preference""]",0,0,0,1.0,false,false,0,,,,provider usage unavailable,1.0,4fa52e596f97c60c2b067c0ca6b30345ed574fcb7ad67acb67009b344a49f87b,bec5382f073bddb8a8e7c670a3e282712845e220957a8e054a655389ec66037c,"{""fastModel"":""gpt-5-nano"",""fastReasoningEffort"":""minimal"",""maxRetries"":0,""provider"":""openai"",""smartModel"":""gpt-5.6-luna"",""smartReasoningEffort"":""medium"",""timeoutS"":30.0}"
