caseId,n,slice,intent,case,semanticQueryIsFallback,semanticQuery,verdict,expectedReask,outcome,causeAxes,blockingAxes,expansionReason,latencyMs
buy-under-0001,0,constraint_budget_set,recommend,2,False,5만원 이내로 아무거나 세트로,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,2743
buy-under-0001,1,constraint_budget_set,recommend,2,False,5만원 이내로 세트,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,1978
buy-under-0001,2,constraint_budget_set,recommend,2,False,5만원 이내 세트,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,1899
buy-under-0001,3,constraint_budget_set,recommend,2,False,5만원 이내 세트,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,2243
buy-under-0001,4,constraint_budget_set,recommend,2,False,5만원 이내 무관 세트,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,2009
buy-under-0001,5,constraint_budget_set,recommend,2,False,5만원 이내 세트,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,2154
buy-under-0001,6,constraint_budget_set,recommend,2,False,5만원 이내로 아무거나 세트로 추천해줘,False,True,miss,multiple,filters.attrConditions;semanticQueryIsFallback,,2151
buy-under-0001,7,constraint_budget_set,recommend,2,False,5만원 이내로 아무거나 세트로,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,2482
buy-under-0002,0,no_condition,recommend,3,False,아무거나 추천해줘,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,no_legs,2059
buy-under-0002,1,no_condition,recommend,3,False,아무거나 추천해줘,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,no_legs,2282
buy-under-0002,2,no_condition,recommend,3,False,무엇을 살지 결정하기 어려운 상황에서 일반적인 상품 추천,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,no_legs,2438
buy-under-0002,3,no_condition,recommend,3,False,"무관한 추천 요청으로, 특정 상품명 없이 일반적인 상품 추천을 요청",False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,no_legs,2220
buy-under-0002,4,no_condition,recommend,3,False,무엇을 살지 결정해야 할 때의 일반적 추천,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,no_legs,2456
buy-under-0002,5,no_condition,recommend,3,False,무엇을 살지 정하지 못했고 추천을 요청하는 일반 대화,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,no_legs,4521
buy-under-0002,6,no_condition,recommend,3,False,무엇을 살지 추천해줘,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,no_legs,1736
buy-under-0002,7,no_condition,recommend,3,False,일반적인 추천 경로를 위한 검색어,False,True,miss,multiple,categoryQueries;semanticQueryIsFallback,,2958
buy-under-0003,0,constraint_price,recommend,2,False,5만원 이하 아무거나,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,3568
buy-under-0003,1,constraint_price,recommend,2,False,다음에 살 물건을 찾고 싶지만 구체적인 상품명은 없음,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,2327
buy-under-0003,2,constraint_price,recommend,2,False,5만원 이하 아무거나,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,1727
buy-under-0003,3,constraint_price,recommend,2,False,5만원 이하 아무거나,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,1939
buy-under-0003,4,constraint_price,recommend,2,False,5만원 이하 아무거나,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,2160
buy-under-0003,5,constraint_price,recommend,2,False,다음에 살 만한 무언가를 5만원 이하의 가격대에서 찾기,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,2249
buy-under-0003,6,constraint_price,recommend,2,False,5만원 이하 아무거나,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,1941
buy-under-0003,7,constraint_price,recommend,2,False,5만원 이하 아무거나,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,1804
buy-under-0004,0,what_axis,recommend,2,False,무선 이어폰,False,False,correctReject,,,,1842
buy-under-0004,1,what_axis,recommend,2,False,무선 이어폰,False,False,correctReject,,,,2306
buy-under-0004,2,what_axis,recommend,3,False,무선 이어폰,False,False,correctReject,,,,2054
buy-under-0004,3,what_axis,recommend,2,False,무선 이어폰,False,False,correctReject,,,,2221
buy-under-0004,4,what_axis,recommend,2,False,무선 이어폰,False,False,correctReject,,,,2217
buy-under-0004,5,what_axis,recommend,2,False,무선 이어폰,False,False,correctReject,,,,2004
buy-under-0004,6,what_axis,recommend,3,False,무선 이어폰,False,False,correctReject,,,,2126
buy-under-0004,7,what_axis,recommend,2,False,무선 이어폰,False,False,correctReject,,,,2295
buy-under-0005,0,what_axis,recommend,2,False,삼성 제품,False,False,correctReject,,,,2215
buy-under-0005,1,what_axis,recommend,2,False,삼성 제품,False,False,correctReject,,,,2743
buy-under-0005,2,what_axis,recommend,2,False,삼성 제품,False,False,correctReject,,,,2162
buy-under-0005,3,what_axis,recommend,2,False,삼성 제품,False,False,correctReject,,,,2275
buy-under-0005,4,what_axis,recommend,2,False,삼성 제품,False,False,correctReject,,,,36259
buy-under-0005,5,what_axis,recommend,3,False,삼성 브랜드 제품,False,False,correctReject,,,,3598
buy-under-0005,6,what_axis,recommend,2,False,삼성 제품,False,False,correctReject,,,,2059
buy-under-0005,7,what_axis,recommend,2,False,삼성 제품,False,False,correctReject,,,,4455
buy-under-0006,0,multiturn_gate,recommend,2,False,5만원 이하,False,False,correctReject,,,,2275
buy-under-0006,1,multiturn_gate,recommend,2,False,다음 추천 중 가격 5만원 이하인 상품,False,False,correctReject,,,,2961
buy-under-0006,2,multiturn_gate,recommend,2,False,다음 중에서 가격이 5만원 이하인 상품,False,False,correctReject,,,,2194
buy-under-0006,3,multiturn_gate,recommend,2,False,5만원 이하 제품,False,False,correctReject,,,,36945
buy-under-0006,4,multiturn_gate,recommend,2,False,다음에서 5만원 이하의 상품,False,False,correctReject,,,,2675
buy-under-0006,5,multiturn_gate,recommend,2,False,5만원 이하,False,False,correctReject,,,,2545
buy-under-0006,6,multiturn_gate,recommend,2,False,5만원 이하 무작위 상품,False,False,correctReject,,,,2435
buy-under-0006,7,multiturn_gate,recommend,2,False,다음 중에서 5만원 이하 가격대의 상품,False,False,correctReject,,,,2184
buy-under-0007,0,blocking_rating,recommend,2,False,평점 4 이상 상품,False,False,correctReject,,,,2097
buy-under-0007,1,blocking_rating,recommend,2,False,평점이 높은 무조건적 추천,False,False,correctReject,,,,2103
buy-under-0007,2,blocking_rating,recommend,2,False,평점이 높은 상품 중에서 4 이상인 상품,False,False,correctReject,,,,1945
buy-under-0007,3,blocking_rating,recommend,2,False,평점 4 이상 무관,False,False,correctReject,,,,2042
buy-under-0007,4,blocking_rating,recommend,2,False,평점 4 이상 아무거나,False,False,correctReject,,,,36195
buy-under-0007,5,blocking_rating,recommend,2,False,상품 중에서 평점이 4 이상인 추천 아이템,False,False,correctReject,,,,2065
buy-under-0007,6,blocking_rating,recommend,2,False,평점이 높은 상품,False,False,correctReject,,,,1998
buy-under-0007,7,blocking_rating,recommend,2,False,제품 중에서 평점 4 이상인 상품,False,False,correctReject,,,,4478
under-br-0001,0,blocking_rating,recommend,2,False,별점이 높은 상품,False,False,correctReject,,,,2611
under-br-0001,1,blocking_rating,recommend,2,False,별점 4.5 이상인 거,False,False,correctReject,,,,2041
under-br-0001,2,blocking_rating,recommend,2,False,별점이 높은 상품,False,False,correctReject,,,,36743
under-br-0001,3,blocking_rating,recommend,2,False,평점 높은 가전/액세서리 등 4.5 이상 상품,False,False,correctReject,,,,2239
under-br-0001,4,blocking_rating,recommend,2,False,별점이 4.5 이상인 상품,False,False,correctReject,,,,2242
under-br-0001,5,blocking_rating,recommend,2,False,별점 4.5 이상인 상품,False,False,correctReject,,,,2062
under-br-0001,6,blocking_rating,recommend,2,False,별점이 4.5 이상인 상품 중 아무거나,False,False,correctReject,,,,1955
under-br-0001,7,blocking_rating,recommend,2,False,평점이 높은 상품,False,False,correctReject,,,,2060
under-br-0002,0,blocking_rating,recommend,2,False,평점 4점대 이상인 상품,False,False,correctReject,,,,2231
under-br-0002,1,blocking_rating,recommend,2,False,평점 4점대 이상 상품,False,False,correctReject,,,,2318
under-br-0002,2,blocking_rating,recommend,2,False,평점이 4점대 이상인 상품,False,False,correctReject,,,,2104
under-br-0002,3,blocking_rating,recommend,2,False,평점이 높은 가전 및 상품,False,False,correctReject,,,,1932
under-br-0002,4,blocking_rating,recommend,2,False,높은 평점 가전/액세서리,False,False,correctReject,,,,4084
under-br-0002,5,blocking_rating,recommend,2,False,평점이 높은 무선/유사 카테고리 상품,False,False,correctReject,,,,2723
under-br-0002,6,blocking_rating,recommend,2,False,평점이 4점대 이상인 상품,False,False,correctReject,,,,4554
under-br-0002,7,blocking_rating,recommend,2,False,평점 4점대 이상으로 보여줘,False,False,correctReject,,,,32231
under-br-0003,0,blocking_rating,recommend,2,False,리뷰 평점 4 넘는 상품,False,False,correctReject,,,,2665
under-br-0003,1,blocking_rating,recommend,2,False,평점 4 이상인 상품,False,False,correctReject,,,,2361
under-br-0003,2,blocking_rating,recommend,2,False,리뷰 평점 4 넘는 상품,False,False,correctReject,,,,2610
under-br-0003,3,blocking_rating,recommend,2,False,리뷰 평점 4 넘는 것만 아무거나,False,False,correctReject,,,,2197
under-br-0003,4,blocking_rating,recommend,2,False,평점이 높은 상품,False,False,correctReject,,,,1925
under-br-0003,5,blocking_rating,recommend,2,False,평점이 4 이상인 상품,False,False,correctReject,,,,2508
under-br-0003,6,blocking_rating,recommend,2,False,리뷰 평점 4 넘는 상품,False,False,correctReject,,,,3213
under-br-0003,7,blocking_rating,recommend,2,False,평점 4 이상인 상품,False,False,correctReject,,,,33831
under-br-0004,0,blocking_rating,recommend,2,False,평점이 높은 가전 및 생활용품,False,False,correctReject,,,,2091
under-br-0004,1,blocking_rating,recommend,2,False,평점 3.5 이상인 상품,False,False,correctReject,,,,2358
under-br-0004,2,blocking_rating,recommend,2,False,평점 3.5 이상이면 뭐든 좋아,False,False,correctReject,,,,2149
under-br-0004,3,blocking_rating,recommend,2,False,평점이 높은 상품,False,False,correctReject,,,,2471
under-br-0004,4,blocking_rating,recommend,2,False,평점 3.5 이상인 상품,False,False,correctReject,,,,2025
under-br-0004,5,blocking_rating,recommend,2,False,평점이 3.5 이상인 상품,False,False,correctReject,,,,2364
under-br-0004,6,blocking_rating,recommend,2,False,평점 3.5 이상인 상품,False,False,correctReject,,,,36074
under-br-0004,7,blocking_rating,recommend,2,False,평점 3.5 이상이면 뭐든 좋아,False,False,correctReject,,,,3117
under-cbs-0001,0,constraint_budget_set,recommend,2,False,전부 다 합쳐서 10만원 예산으로 구매,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,2161
under-cbs-0001,1,constraint_budget_set,recommend,3,False,전부 챙겨줄 수 있어,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,no_legs,1966
under-cbs-0001,2,constraint_budget_set,recommend,3,False,전부 구매 예산 10만원,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,no_legs,2168
under-cbs-0001,3,constraint_budget_set,recommend,2,False,전부 챙겨줄 수 있어,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,2188
under-cbs-0001,4,constraint_budget_set,recommend,2,False,전부 챙겨줄 수 있어? 10만원 예산 내에서 모든 필요한 물건을 추천해줘,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,2184
under-cbs-0001,5,constraint_budget_set,recommend,2,False,전부 챙겨줄 수 있어? 예산 10만원,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,3133
under-cbs-0001,6,constraint_budget_set,recommend,2,False,전부 다 예산 내에서 고르는 상품,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,35533
under-cbs-0001,7,constraint_budget_set,recommend,2,False,전부 챙겨줄 수 있어,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,2139
under-cbs-0002,0,constraint_budget_set,recommend,2,False,세트 구성,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,1936
under-cbs-0002,1,constraint_budget_set,recommend,2,False,세트 구성,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,1944
under-cbs-0002,2,constraint_budget_set,recommend,2,False,세트 구성,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,1923
under-cbs-0002,3,constraint_budget_set,recommend,2,False,세트 구성,False,True,miss,multiple,filters.keyword;semanticQueryIsFallback,,2359
under-cbs-0002,4,constraint_budget_set,recommend,2,False,세트 구성,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,2761
under-cbs-0002,5,constraint_budget_set,recommend,2,False,세트 구성,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,1863
under-cbs-0002,6,constraint_budget_set,recommend,2,False,세트 구성,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,1721
under-cbs-0002,7,constraint_budget_set,recommend,2,False,세트 구성,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,2300
under-cbs-0003,0,constraint_budget_set,recommend,3,False,예산 6만원 다 써서 이것저것 담아줘,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,no_legs,3161
under-cbs-0003,1,constraint_budget_set,recommend,2,False,예산 6만원 다 써서 이것저것 담아줘,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,2100
under-cbs-0003,2,constraint_budget_set,recommend,3,False,예산 6만원 다 써서 이것저것 담아줘,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,no_legs,2235
under-cbs-0003,3,constraint_budget_set,recommend,2,False,예산 6만원으로 여러 아이템을 담아 추천,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,3536
under-cbs-0003,4,constraint_budget_set,recommend,2,False,예산 6만원 다 써서 이것저것 담아줘,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,2087
under-cbs-0003,5,constraint_budget_set,recommend,2,False,예산 6만원 다 써서 이것저것 담아줘,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,2567
under-cbs-0003,6,constraint_budget_set,recommend,2,False,예산 6만원 다 써서 이것저것 담아줘,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,2651
under-cbs-0003,7,constraint_budget_set,recommend,2,False,예산 6만원 다 써서 이것저것 담아줘,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,2186
under-cp-0001,0,constraint_price,recommend,2,False,5만원 이상 아무거나,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,1778
under-cp-0001,1,constraint_price,recommend,2,False,가격 기준으로 3만원 이상 아무거나,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,3009
under-cp-0001,2,constraint_price,recommend,2,False,가격대가 3만원 이상인 무관한 상품들,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,2620
under-cp-0001,3,constraint_price,recommend,2,False,가격대가 3만원 이상인 아무거나,False,True,miss,multiple,filters.attrConditions;semanticQueryIsFallback,,3059
under-cp-0001,4,constraint_price,recommend,2,False,가격대가 3만원 이상인 상품,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,1851
under-cp-0001,5,constraint_price,recommend,2,False,5만원 이상 아무거나,False,True,miss,semanticQueryIsFallback,semanticQueryIsFallback,,2074
