repeat,caseId,hardFailure,failureReason,latencyMs
0,buy-cmap-0001,False,,8993
0,buy-cmap-0002,False,,7339
0,buy-cmap-0003,False,,9421
0,buy-cmap-0004,False,,5631
0,buy-cmap-0005,False,,2513
0,buy-cmap-0006,False,,6159
0,buy-cold-0001,False,,6172
0,buy-cold-0002,False,,6770
0,buy-fail-0001,False,,2441
0,buy-fail-0002,False,,2367
0,buy-fail-0003,False,,2545
0,buy-gust-0001,False,,4487
0,buy-gust-0002,False,,4857
0,buy-mult-0001,False,,8461
0,buy-mult-0002,False,,5906
0,buy-over-0001,False,,13700
0,buy-over-0002,False,,9785
0,buy-over-0003,False,,5644
0,buy-pers-0001,False,,6878
0,buy-pers-0002,False,,9653
0,buy-pers-0003,False,,4396
0,buy-repu-0001,False,,4100
0,buy-repu-0002,False,,5104
0,buy-repu-0003,False,,6540
0,buy-srch-0001,False,,4406
0,buy-srch-0002,False,,9994
0,buy-srch-0003,False,,7549
0,buy-srch-0004,False,,4580
0,buy-srch-0005,False,,6102
0,buy-srch-0006,False,,5494
0,buy-srch-0007,False,,8287
