repeat,caseId,hardFailure,failureReason,latencyMs
0,buy-cmap-0001,False,,9353
0,buy-cmap-0002,False,,4899
0,buy-cmap-0003,True,nonRecommendIntent:general,2866
0,buy-cmap-0004,True,nonRecommendIntent:general,2587
0,buy-cmap-0005,False,,2644
0,buy-cmap-0006,False,,4836
0,buy-cold-0001,False,,5487
0,buy-cold-0002,False,,5416
0,buy-fail-0001,False,,2714
0,buy-fail-0002,False,,2624
0,buy-fail-0003,False,,3479
0,buy-gust-0001,False,,4608
0,buy-gust-0002,False,,5390
0,buy-mult-0001,False,,8507
0,buy-mult-0002,False,,5249
0,buy-over-0001,False,,9585
0,buy-over-0002,False,,5115
0,buy-over-0003,False,,7243
0,buy-pers-0001,False,,6463
0,buy-pers-0002,False,,8012
0,buy-pers-0003,False,,7680
0,buy-repu-0001,False,,4849
0,buy-repu-0002,False,,5695
0,buy-repu-0003,False,,7245
0,buy-srch-0001,False,,4363
0,buy-srch-0002,False,,10827
0,buy-srch-0003,False,,5694
0,buy-srch-0004,False,,4903
0,buy-srch-0005,False,,6361
0,buy-srch-0006,False,,5145
0,buy-srch-0007,False,,4842
