caseId,testType,pairId,arm,sampleIndex,latencyMs,rankedProductIds,displayedRationales,groundingDecisions,validatorDowngradeCount,outOfCandidateIdCount,duplicateIdCount,validRankCoverage,candidateCount,rawResponse
missing_rating,MFT,,current,0,3663,"[102, 101]","[""평가가 매우 높고 리뷰가 매우 많아 믿음직해요."", ""무선 이어폰이지만 평점과 리뷰 정보가 없어요.""]",[],0,0,0,1.0,2,"{""ranked"":[{""productId"":102,""rationale"":""평가가 매우 높고 리뷰가 매우 많아 믿음직해요.""},{""productId"":101,""rationale"":""무선 이어폰이지만 평점과 리뷰 정보가 없어요.""}],""overallComment"":""평이 좋은 제품을 원한다면 평가가 매우 높고 리뷰가 매우 많은 102번이 가장 적합해요. 101번은 관련 평가 정보가 없어 후순위로 추천해요.""}"
missing_rating,MFT,,current,1,2992,"[102, 101]","[""평점이 매우 높고 리뷰가 매우 많아 검증됐어요"", ""무선 이어폰이지만 평가와 리뷰 정보가 없어요""]",[],0,0,0,1.0,2,"{""ranked"":[{""productId"":102,""rationale"":""평점이 매우 높고 리뷰가 매우 많아 검증됐어요""},{""productId"":101,""rationale"":""무선 이어폰이지만 평가와 리뷰 정보가 없어요""}],""overallComment"":""평이 좋은 제품을 찾는다면 검증된 이어폰을 우선 추천해요. 신규 이어폰은 평가 정보가 없어 비교가 어려워요.""}"
missing_rating,MFT,,current,2,2496,"[102, 101]","[""평점이 매우 높고 리뷰가 매우 많아 검증됐어요"", ""무선 이어폰이지만 평점과 리뷰 정보가 없어요""]",[],0,0,0,1.0,2,"{""ranked"":[{""productId"":102,""rationale"":""평점이 매우 높고 리뷰가 매우 많아 검증됐어요""},{""productId"":101,""rationale"":""무선 이어폰이지만 평점과 리뷰 정보가 없어요""}],""overallComment"":""평이 좋은 제품을 원한다면 102번이 가장 적합해요. 101번은 관련 제품이지만 평가 정보가 없습니다.""}"
missing_rating,MFT,,current,3,1894,"[102, 101]","[""평점이 매우 높고 리뷰가 매우 많아 믿을 만해요"", ""무선 이어폰이지만 평점과 리뷰 정보가 없어요""]",[],0,0,0,1.0,2,"{""ranked"":[{""productId"":102,""rationale"":""평점이 매우 높고 리뷰가 매우 많아 믿을 만해요""},{""productId"":101,""rationale"":""무선 이어폰이지만 평점과 리뷰 정보가 없어요""}],""overallComment"":""평이 좋은 무선 이어폰을 원한다면 검증된 이어폰을 우선 추천해요.""}"
missing_rating,MFT,,current,4,1704,"[102, 101]","[""평점이 매우 높고 리뷰가 매우 많아 믿을 만해요"", ""무선 이어폰이지만 평점과 리뷰 정보가 없어요""]",[],0,0,0,1.0,2,"{""ranked"":[{""productId"":102,""rationale"":""평점이 매우 높고 리뷰가 매우 많아 믿을 만해요""},{""productId"":101,""rationale"":""무선 이어폰이지만 평점과 리뷰 정보가 없어요""}],""overallComment"":""평이 좋은 제품을 찾는 목적에는 102번이 가장 적합해요. 101번은 평가와 리뷰 정보가 없어 비교가 어려워요.""}"
missing_rating,MFT,,current,5,1518,"[102, 101]","[""평점이 매우 높고 리뷰가 매우 많아 신뢰할 만해요"", ""무선 이어폰이지만 평가와 리뷰 정보가 없어요""]",[],0,0,0,1.0,2,"{""ranked"":[{""productId"":102,""rationale"":""평점이 매우 높고 리뷰가 매우 많아 신뢰할 만해요""},{""productId"":101,""rationale"":""무선 이어폰이지만 평가와 리뷰 정보가 없어요""}],""overallComment"":""평이 좋은 제품을 찾는다면 검증된 이어폰을 우선 추천해요.""}"
missing_rating,MFT,,current,6,1565,[102],"[""평점이 매우 높고 리뷰가 매우 많아 신뢰할 만해요""]",[],0,0,0,0.5,2,"{""ranked"":[{""productId"":102,""rationale"":""평점이 매우 높고 리뷰가 매우 많아 신뢰할 만해요""}],""overallComment"":""평이 좋은 무선 이어폰을 찾는 조건에는 102번이 가장 적합해요.""}"
missing_rating,MFT,,current,7,1384,[102],"[""평점이 매우 높고 리뷰가 매우 많아 신뢰할 수 있어요""]",[],0,0,0,0.5,2,"{""ranked"":[{""productId"":102,""rationale"":""평점이 매우 높고 리뷰가 매우 많아 신뢰할 수 있어요""}],""overallComment"":""평이 좋은 무선 이어폰을 찾는다면 102번이 가장 적합해요.""}"
missing_review,MFT,,current,0,1291,[112],"[""후기가 매우 많아 참고하기 좋은 텀블러예요""]",[],0,0,0,0.5,2,"{""ranked"":[{""productId"":112,""rationale"":""후기가 매우 많아 참고하기 좋은 텀블러예요""}],""overallComment"":""후기가 많은 상품을 우선 추천했어요.""}"
missing_review,MFT,,current,1,1063,[112],"[""후기가 매우 많아 선택에 참고하기 좋아요.""]",[],0,0,0,0.5,2,"{""ranked"":[{""productId"":112,""rationale"":""후기가 매우 많아 선택에 참고하기 좋아요.""}],""overallComment"":""후기가 많은 조건에 가장 잘 맞는 상품을 우선 추천했어요.""}"
missing_review,MFT,,current,2,1443,[112],"[""리뷰가 매우 많아 후기가 많은 제품을 찾는 데 적합해요""]",[],0,0,0,0.5,2,"{""ranked"":[{""productId"":112,""rationale"":""리뷰가 매우 많아 후기가 많은 제품을 찾는 데 적합해요""}],""overallComment"":""후기가 많은 조건에 맞춰 리뷰가 매우 많은 상품을 우선 추천했어요.""}"
missing_review,MFT,,current,3,2311,[112],"[""후기가 매우 많아 선택에 참고하기 좋아요""]",[],0,0,0,0.5,2,"{""ranked"":[{""productId"":112,""rationale"":""후기가 매우 많아 선택에 참고하기 좋아요""}],""overallComment"":""후기가 많은 텀블러를 우선 추천했어요.""}"
missing_review,MFT,,current,4,2367,"[112, 111]","[""리뷰가 매우 많아 후기를 참고하기 좋아요"", ""텀블러이며 평점이 높아요""]",[],0,0,0,1.0,2,"{""ranked"":[{""productId"":112,""rationale"":""리뷰가 매우 많아 후기를 참고하기 좋아요""},{""productId"":111,""rationale"":""텀블러이며 평점이 높아요""}],""overallComment"":""후기가 많은 제품을 우선 추천했어요. 111번은 리뷰 정보가 없어 참고에 제한이 있어요.""}"
missing_review,MFT,,current,5,2014,[112],"[""리뷰가 매우 많아 후기가 풍부해요""]",[],0,0,0,0.5,2,"{""ranked"":[{""productId"":112,""rationale"":""리뷰가 매우 많아 후기가 풍부해요""}],""overallComment"":""후기가 많은 조건에 맞춰 리뷰가 매우 많은 상품을 추천해요.""}"
missing_review,MFT,,current,6,2172,[112],"[""후기가 매우 많아 선택에 참고하기 좋아요""]",[],0,0,0,0.5,2,"{""ranked"":[{""productId"":112,""rationale"":""후기가 매우 많아 선택에 참고하기 좋아요""}],""overallComment"":""후기가 많은 텀블러를 우선 추천했어요.""}"
missing_review,MFT,,current,7,1812,[112],"[""후기가 매우 많아 참고하기 좋아요""]",[],0,0,0,0.5,2,"{""ranked"":[{""productId"":112,""rationale"":""후기가 매우 많아 참고하기 좋아요""}],""overallComment"":""후기가 많은 조건에 가장 잘 맞는 텀블러예요.""}"
missing_price,MFT,,current,0,2476,"[121, 122, 123]","[""가격 정보는 없지만 평점과 리뷰가 좋아요."", ""가격 정보는 없지만 평점과 리뷰가 좋아요."", ""가격 정보는 없지만 평점과 리뷰가 좋아요.""]",[],0,0,0,1.0,3,"{""ranked"":[{""productId"":121,""rationale"":""가격 정보는 없지만 평점과 리뷰가 좋아요.""},{""productId"":122,""rationale"":""가격 정보는 없지만 평점과 리뷰가 좋아요.""},{""productId"":123,""rationale"":""가격 정보는 없지만 평점과 리뷰가 좋아요.""}],""overallComment"":""모든 후보의 가격 정보가 없어 상대적으로 저렴한 순서를 판단하기 어렵습니다. 평점과 리뷰가 동일해 같은 기준으로 정렬했습니다.""}"
missing_price,MFT,,current,1,2841,"[121, 122, 123]","[""가격 정보가 없어 상대적 저렴함을 판단하기 어려워요."", ""가격 정보가 없어 상대적 저렴함을 판단하기 어려워요."", ""가격 정보가 없어 상대적 저렴함을 판단하기 어려워요.""]",[],0,0,0,1.0,3,"{""ranked"":[{""productId"":121,""rationale"":""가격 정보가 없어 상대적 저렴함을 판단하기 어려워요.""},{""productId"":122,""rationale"":""가격 정보가 없어 상대적 저렴함을 판단하기 어려워요.""},{""productId"":123,""rationale"":""가격 정보가 없어 상대적 저렴함을 판단하기 어려워요.""}],""overallComment"":""후보 모두 가격 정보가 없어 상대적으로 저렴한 상품을 구분하기 어렵습니다. 세 상품 모두 평점과 리뷰 수준은 동일합니다.""}"
missing_price,MFT,,current,2,2638,"[121, 122, 123]","[""가격 정보는 없지만 평점과 리뷰가 좋아요"", ""가격 정보는 없지만 평점과 리뷰가 좋아요"", ""가격 정보는 없지만 평점과 리뷰가 좋아요""]",[],0,0,0,1.0,3,"{""ranked"":[{""productId"":121,""rationale"":""가격 정보는 없지만 평점과 리뷰가 좋아요""},{""productId"":122,""rationale"":""가격 정보는 없지만 평점과 리뷰가 좋아요""},{""productId"":123,""rationale"":""가격 정보는 없지만 평점과 리뷰가 좋아요""}],""overallComment"":""세 상품 모두 가격 정보가 없어 상대적으로 저렴한 순위를 판단하기 어렵습니다. 가격 확인 후 비교해 보세요.""}"
missing_price,MFT,,current,3,2831,"[121, 122, 123]","[""가격 정보는 없지만 평점과 리뷰가 좋아요"", ""가격 정보는 없지만 평점과 리뷰가 좋아요"", ""가격 정보는 없지만 평점과 리뷰가 좋아요""]",[],0,0,0,1.0,3,"{""ranked"":[{""productId"":121,""rationale"":""가격 정보는 없지만 평점과 리뷰가 좋아요""},{""productId"":122,""rationale"":""가격 정보는 없지만 평점과 리뷰가 좋아요""},{""productId"":123,""rationale"":""가격 정보는 없지만 평점과 리뷰가 좋아요""}],""overallComment"":""세 상품 모두 가격 정보가 없어 상대적으로 저렴한 상품을 구분하기 어렵습니다. 평점과 리뷰가 좋은 순으로 제시했지만 해당 지표도 동일합니다.""}"
missing_price,MFT,,current,4,2940,"[121, 122, 123]","[""가격 정보가 없어 저렴한 정도를 판단하기 어려워요."", ""가격 정보가 없어 저렴한 정도를 판단하기 어려워요."", ""가격 정보가 없어 저렴한 정도를 판단하기 어려워요.""]",[],0,0,0,1.0,3,"{""ranked"":[{""productId"":121,""rationale"":""가격 정보가 없어 저렴한 정도를 판단하기 어려워요.""},{""productId"":122,""rationale"":""가격 정보가 없어 저렴한 정도를 판단하기 어려워요.""},{""productId"":123,""rationale"":""가격 정보가 없어 저렴한 정도를 판단하기 어려워요.""}],""overallComment"":""세 상품 모두 가격 정보가 없어 상대적으로 저렴한 상품을 구분하기 어렵습니다. 평점과 리뷰 수준은 동일합니다.""}"
missing_price,MFT,,current,5,3220,"[121, 122, 123]","[""가격 정보가 없어 저렴한지 판단하기 어렵습니다."", ""가격 정보가 없어 저렴한지 판단하기 어렵습니다."", ""가격 정보가 없어 저렴한지 판단하기 어렵습니다.""]",[],0,0,0,1.0,3,"{""ranked"":[{""productId"":121,""rationale"":""가격 정보가 없어 저렴한지 판단하기 어렵습니다.""},{""productId"":122,""rationale"":""가격 정보가 없어 저렴한지 판단하기 어렵습니다.""},{""productId"":123,""rationale"":""가격 정보가 없어 저렴한지 판단하기 어렵습니다.""}],""overallComment"":""세 상품 모두 가격 정보가 없어 상대적으로 저렴한 순위를 판단하기 어렵습니다. 화면에 표시된 가격을 확인해 선택하세요.""}"
missing_price,MFT,,current,6,2565,"[121, 122, 123]","[""가격 정보는 없지만 평점과 리뷰가 좋아요"", ""가격 정보는 없지만 평점과 리뷰가 좋아요"", ""가격 정보는 없지만 평점과 리뷰가 좋아요""]",[],0,0,0,1.0,3,"{""ranked"":[{""productId"":121,""rationale"":""가격 정보는 없지만 평점과 리뷰가 좋아요""},{""productId"":122,""rationale"":""가격 정보는 없지만 평점과 리뷰가 좋아요""},{""productId"":123,""rationale"":""가격 정보는 없지만 평점과 리뷰가 좋아요""}],""overallComment"":""세 상품 모두 가격 정보가 없어 상대적으로 저렴한 상품을 구분하기 어렵습니다. 평점과 리뷰 수준은 동일합니다.""}"
missing_price,MFT,,current,7,3054,"[121, 122, 123]","[""가격 정보가 없어 상대적으로 저렴한지 판단하기 어렵습니다."", ""가격 정보가 없어 상대적으로 저렴한지 판단하기 어렵습니다."", ""가격 정보가 없어 상대적으로 저렴한지 판단하기 어렵습니다.""]",[],0,0,0,1.0,3,"{""ranked"":[{""productId"":121,""rationale"":""가격 정보가 없어 상대적으로 저렴한지 판단하기 어렵습니다.""},{""productId"":122,""rationale"":""가격 정보가 없어 상대적으로 저렴한지 판단하기 어렵습니다.""},{""productId"":123,""rationale"":""가격 정보가 없어 상대적으로 저렴한지 판단하기 어렵습니다.""}],""overallComment"":""후보 모두 가격 정보가 없어 상대적으로 저렴한 순서를 구분하기 어렵습니다. 세 상품 모두 평점과 리뷰 정보는 양호합니다.""}"
rating_boundary,MFT,,current,0,2168,"[133, 132, 131]","[""평점이 가장 높고 리뷰도 매우 많아요."", ""평점이 높고 리뷰가 많아 신뢰할 만해요."", ""평점과 리뷰가 보통 수준이에요.""]",[],0,0,0,1.0,3,"{""ranked"":[{""productId"":133,""rationale"":""평점이 가장 높고 리뷰도 매우 많아요.""},{""productId"":132,""rationale"":""평점이 높고 리뷰가 많아 신뢰할 만해요.""},{""productId"":131,""rationale"":""평점과 리뷰가 보통 수준이에요.""}],""overallComment"":""평점을 우선해 최상 거치대부터 추천했어요. 리뷰가 많은 상품을 함께 고려했습니다.""}"
rating_boundary,MFT,,current,1,1971,"[133, 132, 131]","[""평점이 가장 높고 리뷰도 매우 많아요"", ""평점이 높고 리뷰가 많아요"", ""평점과 리뷰가 보통 수준이에요""]",[],0,0,0,1.0,3,"{""ranked"":[{""productId"":133,""rationale"":""평점이 가장 높고 리뷰도 매우 많아요""},{""productId"":132,""rationale"":""평점이 높고 리뷰가 많아요""},{""productId"":131,""rationale"":""평점과 리뷰가 보통 수준이에요""}],""overallComment"":""평점을 우선해 정렬했으며, 리뷰가 많은 상품을 함께 고려했어요.""}"
rating_boundary,MFT,,current,2,2178,"[133, 132, 131]","[""평점이 매우 높고 리뷰도 매우 많아요."", ""평점이 높고 리뷰가 많아요."", ""평점과 리뷰가 모두 보통 수준이에요.""]",[],0,0,0,1.0,3,"{""ranked"":[{""productId"":133,""rationale"":""평점이 매우 높고 리뷰도 매우 많아요.""},{""productId"":132,""rationale"":""평점이 높고 리뷰가 많아요.""},{""productId"":131,""rationale"":""평점과 리뷰가 모두 보통 수준이에요.""}],""overallComment"":""평점이 높은 순서로 추천했어요. 리뷰가 많은 상품을 우선 고려했습니다.""}"
