cellId,sampleIndex,needs,expectedPriorities,priorities,prioritiesByIndex,rawLegs,lengthMismatch,latencyMs
camping,0,텐트;침낭;휴대용 버너;캠핑 랜턴,1;1;2;3,;;;,,::가성비 생활용품::2,True,2403
camping,1,텐트;침낭;휴대용 버너;캠핑 랜턴,1;1;2;3,;;;,,::가성비 생활용품::2,True,2141
camping,2,텐트;침낭;휴대용 버너;캠핑 랜턴,1;1;2;3,;;;,,::생활용품::2 | 아웃도어/여행::캠핑 필수품::1,True,2283
camping,3,텐트;침낭;휴대용 버너;캠핑 랜턴,1;1;2;3,;;;,,::캠핑 생활용품 추천::2,True,2120
camping,4,텐트;침낭;휴대용 버너;캠핑 랜턴,1;1;2;3,;;;,,::가성비 생활용품::2,True,2010
camping,5,텐트;침낭;휴대용 버너;캠핑 랜턴,1;1;2;3,;;;,,::생활용품::2,True,1713
camping,6,텐트;침낭;휴대용 버너;캠핑 랜턴,1;1;2;3,;;;,,::::2,True,1803
camping,7,텐트;침낭;휴대용 버너;캠핑 랜턴,1;1;2;3,;;;,,::생활용품::2,True,1827
cycling,0,자전거 헬멧;장갑;후미 안전등,1;2;3,;;,,::자전거 용품::2,True,2132
cycling,1,자전거 헬멧;장갑;후미 안전등,1;2;3,;;,,::자전거용 생활용품::2,True,2386
cycling,2,자전거 헬멧;장갑;후미 안전등,1;2;3,;;,,::자전거 관련 생활용품::2,True,2328
cycling,3,자전거 헬멧;장갑;후미 안전등,1;2;3,;;,,::자전거 용품::2 | ::자전거 액세서리::3,True,37276
cycling,4,자전거 헬멧;장갑;후미 안전등,1;2;3,;;,,::자전거용 생활용품::2,True,2549
cycling,5,자전거 헬멧;장갑;후미 안전등,1;2;3,;;,,::가성비 생활용품 자전거 용품::2,True,2523
cycling,6,자전거 헬멧;장갑;후미 안전등,1;2;3,;;,,::생활용품::2,True,2076
cycling,7,자전거 헬멧;장갑;후미 안전등,1;2;3,;;,,::자전거 용품::2,True,2317
gimbap,0,김밥용 김;단무지,1;3,;,,::생활용품::2,True,2500
gimbap,1,김밥용 김;단무지,1;3,;,,::생활용품::2,True,2268
gimbap,2,김밥용 김;단무지,1;3,;,,::김밥 재료 소모품::2,True,2110
gimbap,3,김밥용 김;단무지,1;3,;,,::생활용품::2,True,2189
gimbap,4,김밥용 김;단무지,1;3,;,,::생활용품::2,True,2142
gimbap,5,김밥용 김;단무지,1;3,;,,::가성비 좋은 생활용품::2,True,2118
gimbap,6,김밥용 김;단무지,1;3,;,,::생활용품::2,True,2120
gimbap,7,김밥용 김;단무지,1;3,;,,::생활용품::2,True,2291
gym_start,0,운동화;헬스 장갑;손목 스트랩,1;2;3,;;,,::생활용품::2,True,1812
gym_start,1,운동화;헬스 장갑;손목 스트랩,1;2;3,;;,,::::2,True,2134
gym_start,2,운동화;헬스 장갑;손목 스트랩,1;2;3,;;,,::생활용품 추천::2,True,2513
gym_start,3,운동화;헬스 장갑;손목 스트랩,1;2;3,;;,,::생활용품::1,True,37319
gym_start,4,운동화;헬스 장갑;손목 스트랩,1;2;3,;;,,::가성비 생활용품::2 | ::헬스장 초기 등록 필요 아이템::3,True,3252
gym_start,5,운동화;헬스 장갑;손목 스트랩,1;2;3,;;,,::생활용품::2,True,2019
gym_start,6,운동화;헬스 장갑;손목 스트랩,1;2;3,;;,,::생활용품::2,True,2018
gym_start,7,운동화;헬스 장갑;손목 스트랩,1;2;3,;;,,::가성비 생활용품::2,True,2188
hiking,0,등산화;등산 스틱;방한 장갑,1;2;3,;;,,::가성비 생활용품 등산용 아이템::2,True,2155
hiking,1,등산화;등산 스틱;방한 장갑,1;2;3,;;,,::등산 준비물::1,True,2305
hiking,2,등산화;등산 스틱;방한 장갑,1;2;3,;;,,::가성비 생활용품::2,True,2208
hiking,3,등산화;등산 스틱;방한 장갑,1;2;3,;;,,::등산 용품::2,True,2065
hiking,4,등산화;등산 스틱;방한 장갑,1;2;3,;;,,::생활용품 등산 용품::2,True,2014
hiking,5,등산화;등산 스틱;방한 장갑,1;2;3,;;,,::등산 준비물::2,True,2410
hiking,6,등산화;등산 스틱;방한 장갑,1;2;3,;;,,::등산용품::2,True,36573
hiking,7,등산화;등산 스틱;방한 장갑,1;2;3,;;,,::등산용품::2,True,2066
home_cafe,0,원두;드리퍼;온도계,1;2;3,;;,,::생활용품 커피 준비 용품::2,True,2035
home_cafe,1,원두;드리퍼;온도계,1;2;3,;;,,::가성비 좋은 생활용품 커피를 직접 내려 마시기 위한 필수 아이템::2,True,3104
home_cafe,2,원두;드리퍼;온도계,1;2;3,;;,,::가성비 좋은 생활용품::2,True,2159
home_cafe,3,원두;드리퍼;온도계,1;2;3,;;,,::홈 카페 용품::1,True,36183
home_cafe,4,원두;드리퍼;온도계,1;2;3,;;,,::생활용품 커피prep 관련::2,True,2733
home_cafe,5,원두;드리퍼;온도계,1;2;3,;;,,::커피 관련 필수 아이템::2,True,2283
home_cafe,6,원두;드리퍼;온도계,1;2;3,;;,,::생활용품::2,True,2054
home_cafe,7,원두;드리퍼;온도계,1;2;3,;;,1;2;3,::전기 커피 메이커::1 | ::커피 그라인더::2 | ::커피 드리퍼 세트::3,False,2375
kitten,0,사료;화장실 모래;장난감,1;2;3,;;,,::고양이 입양 초반 필수 생활용품::2,True,2313
kitten,1,사료;화장실 모래;장난감,1;2;3,;;,,::가성비 생활용품 세트::2,True,2155
kitten,2,사료;화장실 모래;장난감,1;2;3,;;,,::고양이 입양 선물::1,True,2258
kitten,3,사료;화장실 모래;장난감,1;2;3,;;,,::고양이 입양 후 필요한 생활용품::2,True,2486
kitten,4,사료;화장실 모래;장난감,1;2;3,;;,,::생활용품 추천::2,True,2244
kitten,5,사료;화장실 모래;장난감,1;2;3,;;,,::고양이 입양 초보 가정용 필수 아이템::2,True,2156
kitten,6,사료;화장실 모래;장난감,1;2;3,;;,,생활용품::고양이 입양 필수품::1,True,2164
kitten,7,사료;화장실 모래;장난감,1;2;3,;;,,::가성비 생활용품 세트::2,True,2285
moving,0,이삿짐 박스;포장용 테이프;짐 정리 라벨스티커,1;2;3,;;,,::생활용품::2,True,2356
moving,1,이삿짐 박스;포장용 테이프;짐 정리 라벨스티커,1;2;3,;;,,::원룸 이사 준비물::2,True,2588
moving,2,이삿짐 박스;포장용 테이프;짐 정리 라벨스티커,1;2;3,;;,,::가성비 생활용품 정리::2,True,2256
moving,3,이삿짐 박스;포장용 테이프;짐 정리 라벨스티커,1;2;3,;;,,::원룸 이사 준비 생활용품::2,True,2117
moving,4,이삿짐 박스;포장용 테이프;짐 정리 라벨스티커,1;2;3,;;,,::필수 생활용품 정리/준비::2,True,2141
moving,5,이삿짐 박스;포장용 테이프;짐 정리 라벨스티커,1;2;3,;;,,::가성비 생활용품::2,True,1965
moving,6,이삿짐 박스;포장용 테이프;짐 정리 라벨스티커,1;2;3,;;,,,True,2067
moving,7,이삿짐 박스;포장용 테이프;짐 정리 라벨스티커,1;2;3,;;,,::생활용품 필수::2,True,2695
newborn,0,기저귀;젖병;딸랑이,1;2;3,;;,,::가성비 생활용품::2,True,2095
newborn,1,기저귀;젖병;딸랑이,1;2;3,;;,,::가성비 생활용품::2,True,1970
newborn,2,기저귀;젖병;딸랑이,1;2;3,;;,,::생활용품::2,True,2018
newborn,3,기저귀;젖병;딸랑이,1;2;3,;;,,::가성비 생활용품::2,True,2425
newborn,4,기저귀;젖병;딸랑이,1;2;3,;;,,::가성비 생활용품::2,True,37321
newborn,5,기저귀;젖병;딸랑이,1;2;3,;;,,::가정용 생활용품::3,True,2483
newborn,6,기저귀;젖병;딸랑이,1;2;3,;;,,::가성비 생활용품::2,True,2342
newborn,7,기저귀;젖병;딸랑이,1;2;3,;;,,::::2,True,1985
ramen,0,라면사리;계란;대파,1;2;3,;;,,::라면 끓일 때 쓸 수 있는 생활용품::2,True,3168
ramen,1,라면사리;계란;대파,1;2;3,;;,,::생활용품::2,True,2214
ramen,2,라면사리;계란;대파,1;2;3,;;,,::::2,True,3049
ramen,3,라면사리;계란;대파,1;2;3,;;,,::라면 끓일 때 필요한 생활용품::2,True,2090
ramen,4,라면사리;계란;대파,1;2;3,;;,,::생활용품::2,True,1964
ramen,5,라면사리;계란;대파,1;2;3,;;,,::라면 끓일 때 넣을 수 있는 생활용품::2,True,2123
ramen,6,라면사리;계란;대파,1;2;3,;;,,::생활용품::2,True,1996
ramen,7,라면사리;계란;대파,1;2;3,;;,,::가성비 생활용품::2,True,3038
study_room,0,책상 스탠드;방석;공부 타이머,1;2;3,;;,,::공부방 필요한 물건::2,True,2528
study_room,1,책상 스탠드;방석;공부 타이머,1;2;3,;;,,::생활용품::2,True,2092
study_room,2,책상 스탠드;방석;공부 타이머,1;2;3,;;,,::가성비 좋은 공부방 생활용품::2,True,2200
study_room,3,책상 스탠드;방석;공부 타이머,1;2;3,;;,,::생활용품 공부방::2,True,2274
study_room,4,책상 스탠드;방석;공부 타이머,1;2;3,;;,,,True,1796
study_room,5,책상 스탠드;방석;공부 타이머,1;2;3,;;,,::생활용품 공부방::2,True,2320
study_room,6,책상 스탠드;방석;공부 타이머,1;2;3,;;,,::공부방 꾸미기 용품::2,True,37065
study_room,7,책상 스탠드;방석;공부 타이머,1;2;3,;;,,::가성비 생활용품 책상 의자 조명 수납::2,True,2465
wedding_guest,0,정장;구두;넥타이핀,1;2;3,;;,,::생활용품::2,True,1974
wedding_guest,1,정장;구두;넥타이핀,1;2;3,;;,,::하객에 어울리는 의류::2,True,2633
wedding_guest,2,정장;구두;넥타이핀,1;2;3,;;,,::가성비 좋은 생활용품::2,True,2172
wedding_guest,3,정장;구두;넥타이핀,1;2;3,;;,,::가성비 좋은 생활용품::2,True,2218
wedding_guest,4,정장;구두;넥타이핀,1;2;3,;;,,::데이트/행사 시 착용 가능한 의상::3,True,2805
wedding_guest,5,정장;구두;넥타이핀,1;2;3,;;,2;2;2,::무선 스틱 청소기::2 | ::USB 미니 가습기::2 | ::접이식 빨래건조대::2,False,2480
wedding_guest,6,정장;구두;넥타이핀,1;2;3,;;,,::가성비 좋은 생활용품::2,True,36607
wedding_guest,7,정장;구두;넥타이핀,1;2;3,;;,,::::2,True,2800
