caseId,n,slice,intent,case,legsCount,legQueries,legRawCategories,matchedGroups,coverage,overExpandedLegCount,echoLegCount,buyAll,totalBudget,latencyMs
buy-cold-0002,0,single,recommend,2,1,"[""커피믹스""]",[null],coffeemix,1.0,0,0,False,,3298
buy-cold-0002,1,single,recommend,3,1,"[""커피믹스""]",[null],coffeemix,1.0,0,0,False,,2228
buy-cold-0002,2,single,recommend,3,1,"[""커피믹스""]",[null],coffeemix,1.0,0,0,False,,2303
buy-cold-0002,3,single,recommend,3,1,"[""커피믹스""]",[null],coffeemix,1.0,0,0,False,,2067
buy-cold-0002,4,single,recommend,2,1,"[""커피믹스""]",[null],coffeemix,1.0,0,0,False,,1748
buy-cold-0002,5,single,recommend,2,1,"[""커피믹스""]",[null],coffeemix,1.0,0,0,False,,2154
buy-cold-0002,6,single,recommend,3,1,"[""커피믹스""]",[null],coffeemix,1.0,0,0,False,,3897
buy-cold-0002,7,single,recommend,2,1,"[""커피믹스""]",[null],coffeemix,1.0,0,0,False,,1688
buy-fail-0003,0,single,recommend,2,1,"[""무선 이어폰""]",[null],earphone,1.0,0,0,False,,2073
buy-fail-0003,1,single,recommend,2,1,"[""무선 이어폰""]","[""음향가전""]",earphone,1.0,0,0,False,,3373
buy-fail-0003,2,single,recommend,2,1,"[""무선 이어폰""]",[null],earphone,1.0,0,0,False,,1699
buy-fail-0003,3,single,recommend,2,1,"[""무선 이어폰""]","[""음향가전""]",earphone,1.0,0,0,False,,2031
buy-fail-0003,4,single,recommend,2,1,"[""무선 이어폰""]",[null],earphone,1.0,0,0,False,,2022
buy-fail-0003,5,single,recommend,2,1,"[""무선 이어폰""]",[null],earphone,1.0,0,0,False,,1986
buy-fail-0003,6,single,recommend,2,1,"[""무선 이어폰""]","[""음향가전""]",earphone,1.0,0,0,False,,2281
buy-fail-0003,7,single,recommend,2,1,"[""무선 이어폰""]","[""음향가전""]",earphone,1.0,0,0,False,,1732
buy-gust-0001,0,single,recommend,3,1,"[""아기 여름 기저귀""]",[null],diaper,1.0,0,0,False,,2644
buy-gust-0001,1,single,recommend,3,1,"[""아기 여름 기저귀""]",[null],diaper,1.0,0,0,False,,1965
buy-gust-0001,2,single,recommend,3,1,"[""아기 여름 기저귀""]",[null],diaper,1.0,0,0,False,,2072
buy-gust-0001,3,single,recommend,3,1,"[""아기 여름 기저귀""]",[null],diaper,1.0,0,0,False,,1766
buy-gust-0001,4,single,recommend,3,1,"[""아기 여름 기저귀""]",[null],diaper,1.0,0,0,False,,2107
buy-gust-0001,5,single,recommend,3,1,"[""아기 여름 기저귀""]",[null],diaper,1.0,0,0,False,,2267
buy-gust-0001,6,single,recommend,2,1,"[""아기 여름 기저귀""]","[""육아용품""]",diaper,1.0,0,0,False,,1939
buy-gust-0001,7,single,recommend,2,1,"[""아기 여름 기저귀""]",[null],diaper,1.0,0,0,False,,1927
buy-mult-0002,0,single,recommend,2,0,[],[],,0.0,0,0,False,,2224
buy-mult-0002,1,single,recommend,2,1,"[""15인치 노트북 파우치""]",[null],pouch,1.0,0,0,False,,2419
buy-mult-0002,2,single,recommend,2,1,"[""15인치 노트북 파우치""]",[null],pouch,1.0,0,0,False,,1999
buy-mult-0002,3,single,recommend,2,1,"[""15인치 노트북 파우치""]",[null],pouch,1.0,0,0,False,,2395
buy-mult-0002,4,single,recommend,2,1,"[""15인치 노트북 파우치""]",[null],pouch,1.0,0,0,False,,2013
buy-mult-0002,5,single,recommend,2,1,"[""15인치 노트북 파우치""]",[null],pouch,1.0,0,0,False,,2071
buy-mult-0002,6,single,recommend,2,1,"[""15인치 노트북 파우치""]",[null],pouch,1.0,0,0,False,,2431
buy-mult-0002,7,single,recommend,2,1,"[""파우치""]",[null],pouch,1.0,0,0,False,,2071
buy-srch-0001,0,situational,recommend,3,1,"[""감자탕 재료""]",[null],,0.0,1,1,False,,1809
buy-srch-0001,1,situational,recommend,3,0,[],[],,0.0,0,0,False,,1943
buy-srch-0001,2,situational,recommend,3,1,"[""감자탕 재료""]",[null],,0.0,1,1,False,,2441
buy-srch-0001,3,situational,recommend,3,1,"[""\""감자탕 재료\""""]",[null],,0.0,1,0,False,,3190
buy-srch-0001,4,situational,recommend,3,0,[],[],,0.0,0,0,False,,35762
buy-srch-0001,5,situational,recommend,3,1,"[""감자탕 재료""]",[null],,0.0,1,1,False,,2423
buy-srch-0001,6,situational,recommend,3,0,[],[],,0.0,0,0,False,,2235
buy-srch-0001,7,situational,recommend,3,1,"[""감자탕 재료""]",[null],,0.0,1,1,False,,2139
buy-srch-0002,0,single,recommend,2,1,"[""출근용 선크림""]",[null],suncream,1.0,0,0,False,,2097
buy-srch-0002,1,single,recommend,2,1,"[""출근용 선크림""]",[null],suncream,1.0,0,0,False,,3554
buy-srch-0002,2,single,recommend,3,1,"[""출근용 선크림""]",[null],suncream,1.0,0,0,False,,2026
buy-srch-0002,3,single,recommend,3,1,"[""출근용 선크림""]",[null],suncream,1.0,0,0,False,,37181
buy-srch-0002,4,single,recommend,2,1,"[""출근용 선크림""]",[null],suncream,1.0,0,0,False,,2210
buy-srch-0002,5,single,recommend,2,1,"[""출근용 선크림""]",[null],suncream,1.0,0,0,False,,2491
buy-srch-0002,6,single,recommend,3,1,"[""출근용 선크림""]",[null],suncream,1.0,0,0,False,,1902
buy-srch-0002,7,single,recommend,2,1,"[""출근용 선크림""]",[null],suncream,1.0,0,0,False,,1974
buy-srch-0003,0,single,recommend,1,1,"[""무선 이어폰""]",[null],earphone,1.0,0,0,False,,1801
buy-srch-0003,1,single,recommend,1,1,"[""무선 이어폰""]","[""음향가전""]",earphone,1.0,0,0,False,,1874
buy-srch-0003,2,single,recommend,1,0,[],[],,0.0,0,0,False,,1774
buy-srch-0003,3,single,recommend,1,1,"[""무선 이어폰""]",[null],earphone,1.0,0,0,False,,40984
buy-srch-0003,4,single,recommend,1,1,"[""무선 이어폰""]",[null],earphone,1.0,0,0,False,,1918
